u,v,length_m,free_flow_kph,speed_offpeak_kph,speed_rush_kph,travel_time_offpeak_s,travel_time_rush_s
293685287,12259640486,48.85,20.0,20.0,13.98,8.79,12.57
293685287,293685300,115.58,20.0,19.97,13.06,20.84,31.87
293685287,1662341079,78.19,20.0,19.96,16.08,14.1,17.5
293685300,293685287,115.58,20.0,19.98,14.03,20.83,29.66
293685300,293685335,38.12,20.0,19.71,14.61,6.96,9.39
293685300,2030023038,21.43,20.0,19.99,12.08,3.86,6.39
293685301,293685322,192.96,20.0,20.0,12.89,34.73,53.87
293685301,1742495589,49.42,20.0,20.0,13.49,8.9,13.18
293685301,293685302,39.3,20.0,19.97,17.52,7.08,8.08
293685301,293685335,38.17,20.0,20.0,14.57,6.87,9.43
293685302,293685311,192.6,20.0,20.0,16.56,34.67,41.88
293685302,293685303,44.26,20.0,19.96,15.52,7.98,10.27
293685302,293685301,39.3,20.0,19.99,14.17,7.08,9.98
293685303,2030023040,114.25,20.0,19.99,15.56,20.57,26.44
293685303,2030023041,19.79,20.0,19.99,12.37,3.56,5.76
293685303,293685302,44.26,20.0,19.72,12.31,8.08,12.95
293685305,1662343218,41.21,20.0,20.0,14.73,7.42,10.07
293685305,5524944759,44.56,20.0,19.78,15.35,8.11,10.45
293685311,293685302,192.6,20.0,19.88,13.9,34.89,49.89
293685311,293685322,37.08,20.0,20.0,13.38,6.67,9.97
293685311,5524944759,41.94,20.0,19.97,15.36,7.56,9.83
293685311,1662343218,44.3,20.0,19.98,13.18,7.98,12.1
293685322,1662341075,42.4,20.0,20.0,14.51,7.63,10.52
293685322,293685301,192.96,20.0,19.91,12.09,34.89,57.47
293685322,293685331,40.41,20.0,19.98,13.03,7.28,11.17
293685322,293685311,37.08,20.0,20.0,16.14,6.67,8.27
293685331,293685335,192.92,20.0,20.0,12.63,34.73,54.98
293685331,1662341079,38.61,20.0,20.0,15.95,6.95,8.72
293685331,293685322,40.41,20.0,20.0,14.08,7.27,10.33
293685335,293685331,192.92,20.0,20.0,12.91,34.73,53.82
293685335,293685301,38.17,20.0,20.0,13.32,6.87,10.32
293685335,293685300,38.12,20.0,20.0,14.19,6.86,9.67
606843661,2030033800,51.85,20.0,20.0,18.73,9.33,9.96
606843661,606843691,145.17,20.0,20.0,16.12,26.13,32.41
606843661,2030033807,24.77,20.0,19.95,12.66,4.47,7.05
606843669,2030033801,28.32,20.0,19.42,15.17,5.25,6.72
606843669,606843672,54.81,20.0,20.0,12.75,9.87,15.48
606843669,606898388,145.05,20.0,20.0,15.35,26.12,34.01
606843672,2030033824,25.32,20.0,19.81,13.06,4.6,6.98
606843672,606843687,144.06,20.0,19.99,11.72,25.94,44.26
606843672,606843669,54.81,20.0,20.0,17.31,9.87,11.4
606843687,606843672,144.06,20.0,20.0,12.74,25.93,40.69
606843687,606898401,50.01,20.0,19.92,14.52,9.04,12.4
606843687,606898388,60.41,20.0,20.0,12.48,10.87,17.43
606843691,2030033822,49.69,20.0,19.98,15.4,8.95,11.61
606843691,606843694,51.21,20.0,20.0,15.67,9.22,11.76
606843691,606843661,145.17,20.0,19.68,12.76,26.55,40.96
606843694,606898409,52.63,20.0,19.51,15.78,9.71,12.01
606843694,2448346732,55.49,20.0,19.96,12.4,10.01,16.1
606843694,606898446,46.44,20.0,19.83,12.66,8.43,13.21
606843694,606843691,51.21,20.0,19.98,13.1,9.23,14.07
606898388,606843669,145.05,20.0,19.93,16.1,26.2,32.43
606898388,2030033822,59.88,20.0,20.0,12.5,10.78,17.24
606898388,606843687,60.41,20.0,19.99,13.92,10.88,15.62
606898401,606843687,50.01,20.0,19.99,14.24,9.0,12.65
606898401,606898413,44.62,20.0,19.95,12.23,8.05,13.13
606898401,606898405,53.2,20.0,20.0,12.45,9.58,15.39
